Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.6714E-08,-2.6353E-07,-0.0065503,0,0,0,88.72,4.6483,-1.0811E-07,6.5342E-08,3.659,6.4458E-07,1.1897,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/base_link.STL,0.83922,0.83922,0.92157,1,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/base_link.STL,,03-00-1;00-youtui-1/ak-motor-1;01-zuotui-1/ak-motor-3,坐标系base,?????????L_thigh,L_thigh_joint,continuous,0,0.06635,0,0,0.5236,0,L_hip2_Link,0,-1,0,,,,,,,,,,,,
R_hip_Link,0.088278,-0.023018,-0.071371,0,0,0,1.4628,0.0039716,0.0003283,0.00074132,0.0036146,-0.00033204,0.0030335,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/R_hip_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/R_hip_Link.STL,,00-youtui-1/00-04-hip-1;00-youtui-1/ak-motor-4,坐标系R_hip,基准轴R_hip,R_hip_joint,continuous,0,-0.125,-0.39,0,0,0,base_link,0,0,1,,,,,,,,,,,,
R_hip2_Link,0.0216,0.00020802,9.4489E-06,0,0,0,1.3887,0.0030783,6.5918E-07,-3.6417E-07,0.0040557,-3.6085E-07,0.0016242,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/R_hip2_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/R_hip2_Link.STL,,00-youtui-1/00-06-1;00-youtui-1/ak-motor-5,坐标系R_hip2,基准轴R_hip2,R_hip2_joint,continuous,0,-0.03,-0.1,0,0,0,R_hip_Link,1,0,0,,,,,,,,,,,,
R_thigh_Link,-4.0045E-05,-0.0055364,-0.10619,0,0,0,3.9044,0.04409,-1.418E-05,-2.3239E-05,0.045675,9.3539E-06,0.0063298,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/R_thigh_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/R_thigh_Link.STL,,00-youtui-1/00-01-thigh-1;00-youtui-1/ak-motor-3;00-youtui-1/ak80-64-1;00-youtui-1/00-08-2;00-youtui-1/00-10-gan-1;00-youtui-1/00-12-gan-1;00-youtui-1/00-08-1,坐标系R_thigh,基准轴R_thigh,R_thigh_joint,continuous,0,-0.065,0,0,0.5236,0,R_hip2_Link,0,1,0,,,,,,,,,,,,
R_calf_Link,0.0016938,1.4945E-06,-0.13884,0,0,0,1.0718,0.014327,-2.9553E-09,-1.9753E-05,0.014368,-1.1081E-07,0.00067215,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/R_calf_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/R_calf_Link.STL,,00-youtui-1/00-02-calf-1;00-youtui-1/00-09-1;00-youtui-1/00-11-gan-2,坐标系R_calf,基准轴R_calf,R_calf_joint,continuous,0,0,-0.4,0,-1.0472,0,R_thigh_Link,0,1,0,,,,,,,,,,,,
R_toe_Link,0.016527,6.3197E-06,-0.03492,0,0,0,0.46862,0.00022464,-4.2581E-07,0.00021361,0.0013555,6.6812E-08,0.0012556,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/R_toe_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/R_toe_Link.STL,,00-youtui-1/00-03-toe-1;00-youtui-1/00-05-1,坐标系R_toe,基准轴R_toe,R_toe_joint,continuous,0,0,-0.4,0,0.5236,0,R_calf_Link,0,1,0,,,,,,,,,,,,
L_hip_Link,0.088278,0.02302,-0.071363,0,0,0,1.4628,0.0039716,-0.00032837,0.00074099,0.0036148,0.00033237,0.0030333,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/L_hip_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/L_hip_Link.STL,,01-zuotui-1/00-13-1;01-zuotui-1/ak-motor-2,坐标系L_hip,基准轴L_hip,L_hip_joint,continuous,0,0.125,-0.39,0,0,0,base_link,0,0,1,,,,,,,,,,,,
L_hip2_Link,0.021636,-0.00020817,-3.6813E-06,0,0,0,1.3887,0.0030785,7.3859E-07,-1.6001E-07,0.0040557,-1.4123E-07,0.001624,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/L_hip2_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/L_hip2_Link.STL,,01-zuotui-1/00-06-2;01-zuotui-1/ak-motor-4,坐标系L_hip2,基准轴L_hip2,L_hip2_joint,continuous,0,0.03,-0.1,0,0,0,L_hip_Link,1,0,0,,,,,,,,,,,,
L_thigh_Link,0.00010967,0.0047236,-0.10618,0,0,0,3.9044,0.04409,1.2741E-05,6.499E-05,0.045675,-8.791E-06,0.0063299,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/L_thigh_Link.STL,0.90196,0.92157,0.92157,1,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/L_thigh_Link.STL,,01-zuotui-1/ak-motor-1;01-zuotui-1/00-01-thigh-2;01-zuotui-1/00-08-2;01-zuotui-1/00-10-gan-2;01-zuotui-1/ak80-64-1;01-zuotui-1/00-08-3;01-zuotui-1/00-12-gan-2,坐标系L_thigh,基准轴L_thigh,L_thigh_joint,continuous,0,0.06635,0,0,0.5236,0,L_hip2_Link,0,-1,0,,,,,,,,,,,,
L_calf_Link,0.0016958,0.00069082,-0.13884,0,0,0,1.0718,0.014327,2.1317E-07,-1.9555E-05,0.014367,6.8422E-05,0.00067249,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/L_calf_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://20240116-000-biped.SLDASM/meshes/L_calf_Link.STL,,01-zuotui-1/00-02-calf-2;01-zuotui-1/00-09-2;01-zuotui-1/00-11-gan-2,坐标系L_calf,基准轴L_calf,L_calf_joint,continuous,0,0,-0.4,-0.0099996,-1.0472,0.0057731,L_thigh_Link,-0.0028867,-0.99998,-0.0049999,,,,,,,,,,,,
